,Y,X
0,0,0.9762310124443881
1,1,0.9284111803848827
2,2,0.9725839435788305
3,3,0.9473898446141211
4,4,0.989453037475414
5,5,0.9811920503892648
6,6,0.9655138687844762
7,7,0.9561147842416181
8,8,0.9443728193874875
9,9,0.9145057633966507
10,10,0.8959254332772583
11,11,0.8652585081676313
12,12,0.7819327028747705
13,13,0.7566856112472441
14,14,0.7529181530100979
15,15,0.7464818562369488
16,16,0.7302954429866588
17,17,0.7163866472715735
18,18,0.598744180587614
19,19,0.5508693997602732
20,20,0.4718144830014563
21,21,0.7485857360823129
22,22,0.5390753313819906
23,23,0.18011014649450813
24,24,0.07837134697390555
25,25,0.08778021204178242
26,26,0.03614384129230093
27,27,0.0
28,28,0.034486131215523616
29,29,0.053294080826258736
30,30,0.05643362935722392
31,31,0.04389499628340049
32,32,0.06207112397793512
33,33,0.11240152789583313
34,34,0.0860677310248897
35,35,0.1159303413225368
36,36,0.0940495285786941
37,37,0.09393536317756086
38,38,0.09581357963659773
39,39,0.17470062702060893
40,40,0.38484160884300944
41,41,0.3166151559015688
42,42,0.2789455527063563
43,43,0.4319764484957553
44,44,0.7195772323603667
45,45,0.7773724886279271
46,46,0.7646048134409271
47,47,0.6828734115537904
48,48,0.6086651895110017
49,49,0.453979962371614
50,50,0.33473918007192394
51,51,0.5460298181534047
52,52,0.9145046964302992
53,53,0.8904579419641402
54,54,0.8150502718985956
