,Y,X
0,0,0.8427861588115161
1,1,0.7979563164328186
2,2,0.7876719624130065
3,3,0.6708144471250951
4,4,0.8427861588115256
5,5,0.827081512339371
6,6,0.8081104887561946
7,7,0.7888469790238454
8,8,0.7860387738574864
9,9,0.7860387738574864
10,10,0.7396754925348384
11,11,0.743038237914627
12,12,0.7155462305636221
13,13,0.6978820959591646
14,14,0.6569695391737012
15,15,0.7291933299632717
16,16,0.6488391004951993
17,17,0.6982083955359639
18,18,0.7775820356021612
19,19,0.687922350844744
20,20,0.9924257922063405
21,21,0.1305705508714836
22,22,0.08724371535177503
23,23,0.11702151041199793
24,24,0.2968954201402919
25,25,0.06886104540973807
26,26,0.147908385899072
27,27,0.1514672491593278
28,28,0.13759190912303337
29,29,0.14790838589912436
30,30,0.1264571473978025
31,31,0.18545819730475596
32,32,0.14670124653197647
33,33,0.28889516315823327
34,34,0.07199555015292122
35,35,0.1447417583996992
36,36,0.13066860981173123
37,37,0.017207653331236545
38,38,9.338861650338405e-16
39,39,0.3164852294494667
40,40,0.29245402641843093
41,41,0.29062641065393235
42,42,0.21882697838139542
43,43,0.2442614386598903
44,44,0.6294454090663942
45,45,0.4644274287762365
46,46,0.3783266072790307
47,47,0.3819175932954657
48,48,0.5809265217310531
49,49,0.3268033968969417
50,50,0.1727883059641751
51,51,0.19270610552154066
52,52,0.14627688801501368
53,53,0.6191593643751588
54,54,0.7912308256731829
