,Y,X
0,0,0.7015457078933975
1,1,0.6592708574935628
2,2,0.6625606696949667
3,3,0.6548533971817745
4,4,0.6800008563873849
5,5,0.6879516997505777
6,6,0.7039747080254203
7,7,0.6437773820950746
8,8,0.6032307214706868
9,9,0.5762709324274704
10,10,0.5857832554853394
11,11,0.5908239517283002
12,12,0.597350979671502
13,13,0.5879999429075079
14,14,0.6110127851502422
15,15,0.6059980659917874
16,16,0.6309694662208613
17,17,0.6018424461278855
18,18,0.5516181083116193
19,19,0.4616003025902165
20,20,0.3230533779130499
21,21,0.29855320485145354
22,22,0.5718386994329846
23,23,0.15699586436244883
24,24,0.04648863324139367
25,25,0.08013259731593299
26,26,0.12071429845814566
27,27,0.11416921501390155
28,28,0.10602504219492304
29,29,0.16362209051301174
30,30,0.10195063640287037
31,31,0.11500597687039155
32,32,0.13183812850806612
33,33,0.13191127826524596
34,34,0.10326676110716466
35,35,0.10048864037795988
36,36,0.0989428611189403
37,37,0.0406134588416607
38,38,0.0017333994654742545
39,39,0.1561147844580136
40,40,0.27731800875656026
41,41,0.3308860398148802
42,42,0.4974956377766916
43,43,0.6872465360914192
44,44,0.9488711743568912
45,45,0.873658522660384
46,46,0.8863005848412218
47,47,0.7149337548662447
48,48,0.5051642301255654
49,49,0.5040075362091351
50,50,0.5197482934697469
51,51,0.8886537233226806
52,52,0.9934198046722938
53,53,0.9774616677430813
54,54,0.9698904894610826
