,Y,X
0,0,0.8068200513092012
1,1,0.8158863053304661
2,2,0.8526464959074808
3,3,0.8201009895345397
4,4,0.7778637455715328
5,5,0.7874439060145778
6,6,0.7642040965916015
7,7,0.7550572138290496
8,8,0.7761290059860727
9,9,0.7806409577717112
10,10,0.7086810278128441
11,11,0.5062825263672192
12,12,0.588519770330275
13,13,0.609185161053882
14,14,0.45209919778473545
15,15,0.32632324795373907
16,16,0.35920348576780126
17,17,0.4171608909883142
18,18,0.37315307244370344
19,19,0.4171397157633246
20,20,0.369848108482295
21,21,0.4379215702243764
22,22,0.6758105631795378
23,23,0.6164034694791455
24,24,0.4148063688561569
25,25,0.34012460805473
26,26,0.3371519322392839
27,27,0.3665610620189749
28,28,0.3405090198314125
29,29,0.3259966608299055
30,30,0.3234124689497898
31,31,0.33098098301909834
32,32,0.314253369711284
33,33,0.2997597426395759
34,34,0.2881133688968511
35,35,0.2525308466017898
36,36,0.20979761371503092
37,37,0.1961835729120002
38,38,0.12800749277193194
39,39,0.07300158814187567
40,40,0.011491631713968628
41,41,0.03826037382414189
42,42,0.18870383190128162
43,43,0.5676743901942418
44,44,0.9235981593842623
45,45,0.9931107219937301
46,46,0.9645852506413688
47,47,0.961412224620288
48,48,0.6440689009243915
49,49,0.45587001669584976
50,50,0.4614814513173361
51,51,0.6410237406849331
52,52,0.8545050291159129
53,53,0.8801311235085759
54,54,0.870945148022967
