,Y,X
0,0,0.9474641777310374
1,1,0.9203732555356198
2,2,0.9039611838009359
3,3,0.8681418853545178
4,4,0.8055098688203909
5,5,0.42055906155565076
6,6,0.26298563064384023
7,7,0.18163542040545577
8,8,0.1364777834198653
9,9,0.10576877167631969
10,10,0.06996100757550633
11,11,0.04380453115114111
12,12,0.02343735007021853
13,13,0.017884044767712097
14,14,0.012330739465205666
15,15,0.006777434162699231
16,16,0.0012241288601928003
17,17,0.0022340010802415536
18,18,0.008297657868700037
19,19,0.014361314657158522
20,20,0.020424971445617005
21,21,0.02648862823407549
22,22,0.03805919023353524
23,23,0.05159705860603061
24,24,0.07317272564805687
25,25,0.08846572506631638
26,26,0.10097607695679797
27,27,0.11965288863629198
28,28,0.13833051158225357
29,29,0.15084244849179676
30,30,0.16854666700374923
31,31,0.1894955888718663
32,32,0.20200665960370706
33,33,0.21793267836541438
34,34,0.24102457803701952
35,35,0.25739192876483874
36,36,0.28427339737463375
37,37,0.30970406017307756
38,38,0.3490523676545982
39,39,0.38906809042828305
40,40,0.435490025310238
41,41,0.4814361673284676
42,42,0.530304332287292
43,43,0.5830621384698362
44,44,0.6355456319257777
45,45,0.6846830902256293
46,46,0.7319914847239102
47,47,0.7792976314101886
48,48,0.8237192458706901
49,49,0.8608617130599199
50,50,0.8915940086304204
51,51,0.9266355951743486
52,52,0.946735537127131
53,53,0.9749761261809138
54,54,0.9874880630904569
