X;Y
3.2;0
3.14848;0.07037
3.10084;0.17778
3.04915;0.21111
2.99753;0.25926
2.94943;0.27037
2.89772;0.3
2.84961;0.30741
2.79781;0.31852
2.74968;0.32222
2.69785;0.32593
2.5497;0.32593
2.59785;0.32593
2.6497;0.32593
2.44972;0.32963
2.49786;0.32963
2.34973;0.33333
2.39788;0.33333
2.29792;0.34074
2.24979;0.34445
2.19797;0.35185
2.14986;0.35926
2.09806;0.37037
2.04994;0.37778
1.99816;0.39259
1.95003;0.3963
1.8983;0.42222
1.85023;0.43704
1.79852;0.46667
1.75046;0.48519
1.69887;0.54074
1.65084;0.56667
1.59931;0.63333
1.55134;0.67037
1.49989;0.75556
1.44829;0.80741
1.39882;1.13704
1.39882;1.14815
1.39816;1.17037
1.45157;1.4963
1.50035;1.62963
1.54887;1.70741
1.60146;1.86296
1.64996;1.93704
1.6988;2.08148
1.75102;2.15926
1.79986;2.30371
1.84834;2.37408
1.90076;2.49259
1.94915;2.54445
2.00139;2.62593
2.0497;2.65926
2.10185;2.72222
2.15014;2.75185
2.20224;2.80371
2.25049;2.82593
2.29889;2.87778
2.35086;2.90371
2.39924;2.95185
2.45121;2.97778
2.49957;3.02222
2.55155;3.04815
2.59991;3.09259
2.64818;3.11852
2.70026;3.16667
2.74853;3.19259
2.80065;3.24815
2.84892;3.27408
2.90104;3.32963
2.94933;3.35926
3.00148;3.42222
3.0498;3.45926
3.10199;3.52963
3.15033;3.57037
3.20264;3.66667
3.25107;3.72593
3.29991;3.87037
3.20264;3.66667
3.25107;3.72593
3.29991;3.87037
