X;Y
3.2;0
3.14815;0.2
3.1;0.25555
3.04815;0.34074
3;0.38518
2.94815;0.45185
2.9;0.48518
2.84815;0.54814
2.8;0.57777
2.74815;0.64074
2.7;0.67037
2.64815;0.72963
2.6;0.75555
2.54815;0.81111
2.5;0.84444
2.44815;0.89629
2.4;0.91851
2.34815;0.97777
2.3;1.0074
2.24815;1.05925
2.2;1.08518
2.14815;1.14074
2.1;1.16666
2.04815;1.21851
2;1.24444
1.94815;1.3
1.9;1.32592
1.84815;1.38148
1.8;1.4074
1.74815;1.45925
1.7;1.48518
1.64815;1.54074
1.6;1.57037
1.54815;1.62592
1.500002;1.65555
1.44815;1.71851
1.400002;1.75185
1.34815;1.94074
1.34815;1.95925
1.34815;1.97407
1.400002;2.15185
1.44815;2.17777
1.500002;2.23703
1.54815;2.26296
1.6;2.31481
1.64815;2.34444
1.7;2.39629
1.74815;2.41851
1.8;2.47407
1.84815;2.5
1.9;2.55185
1.94815;2.57777
2;2.63333
2.04815;2.65555
2.1;2.71111
2.14815;2.74444
2.2;2.8074
2.24815;2.84074
2.3;2.91851
2.34815;2.95925
2.4;3.04814
2.44815;3.09629
2.5;3.19629
2.54815;3.24444
2.6;3.33333
2.64815;3.37777
2.7;3.44814
2.74815;3.48148
2.8;3.54814
2.84815;3.57777
2.9;3.64074
2.94815;3.67037
3;3.73333
3.04815;3.77037
3.1;3.92592
3.14815;4.17777
3.04815;3.77037
3.1;3.92592
3.14815;4.17777
