X;Y
3.2;0
3.15185;0.10825
3.1;0.16069
3.05185;0.17218
3;0.18741
2.95185;0.19146
2.9;0.1918
2.85185;0.19213
2.8;0.19247
2.75185;0.1928
2.7;0.19686
2.65185;0.19719
2.6;0.19753
2.55185;0.19786
2.5;0.1982
2.45185;0.19853
2.4;0.19887
2.35185;0.1992
2.3;0.20327
2.25185;0.20731
2.2;0.2151
2.15185;0.21914
2.1;0.2381
2.05185;0.24586
2;0.26482
1.95185;0.2763
1.9;0.32131
1.85185;0.34768
1.8;0.41129
1.75185;0.44511
1.65185;0.66534
1.65185;0.68363
1.75185;0.93262
1.8;0.99556
1.85185;1.12546
1.9;1.18096
1.95185;1.29598
2;1.34403
2.05185;1.45161
2.1;1.5071
2.15185;1.61096
2.2;1.65901
2.25185;1.75914
2.3;1.81836
2.35185;1.9185
2.4;1.96655
2.45185;2.0704
2.5;2.1259
2.55185;2.22976
2.6;2.28153
2.65185;2.38166
2.7;2.44088
2.75185;2.54846
2.8;2.60024
2.85185;2.71153
2.9;2.77075
2.95185;2.88577
3;2.94499
3.05185;3.06745
3.1;3.13039
3.15185;3.27518
3.2;3.34556
3.25185;3.50896
3.3;3.60539
3.35185;3.82461
3.25185;3.50896
3.3;3.60539
3.35185;3.82461
