X;Y
3.2;0
3.18;0.003383
3.14815;0.296642
3.1;0.489558
3.04815;0.926938
3;1.045778
2.94815;1.205388
2.9;1.279778
2.84815;1.424568
2.8;1.498968
2.74815;1.658568
2.7;1.740368
2.64815;1.914788
2.6;1.992888
2.54815;2.141388
2.5;2.189848
2.44815;2.275388
2.4;2.316448
2.34815;2.387158
2.3;2.424518
2.24815;2.487828
2.2;2.514078
2.14815;2.569978
2.1;2.599928
2.04815;2.655828
2;2.685778
1.94815;2.756498
1.9;2.793848
1.84815;2.890498
1.8;2.942668
1.74815;3.043008
1.7;3.087778
1.64815;3.173308
1.6;3.214368
1.54815;3.288788
1.5;3.322448
1.44815;3.378348
1.4;3.404598
1.34815;3.434568
1.3;3.453408
1.24815;3.475978
1.2;3.483708
1.14815;3.506268
1.1;3.521408
1.04815;3.536568
1;3.544298
0.94815;3.552048
0.9;3.559778
0.84815;3.589758
0.8;3.601188
0.74815;3.634868
0.700002;3.668518
0.6;3.857758
0.600002;3.865478
0.700002;4.038888
0.74815;4.060788
0.8;4.082668
0.84815;4.086048
0.9;4.111628
0.94815;4.122418
1;4.136888
1.04815;4.140268
1.1;4.147338
1.14815;4.150718
1.2;4.161478
1.24815;4.168568
1.3;4.179338
1.34815;4.182718
1.4;4.193478
1.44815;4.196868
1.54815;4.207308
1.5;4.207628
1.64815;4.210348
1.6;4.210668
1.7;4.217408
1.74815;4.224498
1.8;4.235258
1.84815;4.242348
1.9;4.249408
1.94815;4.256498
2;4.270968
2.04815;4.274348
2.1;4.277708
2.14815;4.288498
2.2;4.310368
2.24815;4.321158
2.3;4.339338
2.34815;4.346418
2.4;4.386818
2.5;4.401308
2.6;4.441708
2.7;4.463608
2.8;4.526218
2.85;4.566638
2.9;4.669998
3;4.765978
3.1;4.961928
3.2;5.031978
