X;Y
2.63952;1.3
2.57317;1.36667
2.50667;1.4
2.40667;1.4
2.30683;1.43333
2.24016;1.43333
2.07349;1.43333
2.14016;1.43333
2.00683;1.43333
1.94032;1.46667
1.80714;1.5
1.87381;1.5
1.74063;1.53333
1.67429;1.6
1.60778;1.63333
1.57476;1.7
1.50841;1.76667
1.47556;1.86667
1.4427;1.96667
1.44317;2.06667
1.41032;2.16667
1.41063;2.23333
1.41095;2.3
1.41143;2.4
1.4119;2.5
1.41238;2.6
1.41286;2.7
1.44667;2.8
1.44714;2.9
1.48079;2.96667
1.48127;3.06667
1.48175;3.16667
1.48222;3.26667
1.4827;3.36667
1.44984;3.46667
1.45016;3.53333
1.4173;3.63333
1.38429;3.7
1.35143;3.8
1.35222;3.96667
1.35302;4.13333
1.35333;4.2
1.35365;4.26667
1.35397;4.33333
1.38762;4.4
1.38794;4.46667
1.42159;4.53333
1.45524;4.6
1.52206;4.63333
1.48873;4.63333
1.52238;4.7
1.55603;4.76667
1.58952;4.8
1.65651;4.86667
1.72333;4.9
1.79016;4.93333
1.85698;4.96667
1.92381;5
2.02381;5
2.09063;5.03333
2.15746;5.06667
2.22429;5.1
2.29095;5.1
2.35778;5.13333
2.4246;5.16667
2.4581;5.2
2.55825;5.23333
2.62508;5.26667
2.72508;5.26667
2.75857;5.3
2.82556;5.36667
2.89238;5.4
2.92587;5.43333
2.95952;5.5
2.99302;5.53333
2.99317;5.56667
2.99333;5.6
2.63952;1.3
2.57317;1.36667
2.50667;1.4
2.40667;1.4
2.30683;1.43333
2.24016;1.43333
2.07349;1.43333
2.14016;1.43333
2.00683;1.43333
1.94032;1.46667
1.80714;1.5
1.87381;1.5
1.74063;1.53333
1.67429;1.6
1.60778;1.63333
1.57476;1.7
1.50841;1.76667
1.47556;1.86667
1.4427;1.96667
1.44317;2.06667
1.41032;2.16667
1.41063;2.23333
1.41095;2.3
1.41143;2.4
1.4119;2.5
1.41238;2.6
1.41286;2.7
1.44667;2.8
1.44714;2.9
1.48079;2.96667
1.48127;3.06667
1.48175;3.16667
1.48222;3.26667
1.4827;3.36667
1.44984;3.46667
1.45016;3.53333
1.4173;3.63333
1.38429;3.7
1.35143;3.8
1.35222;3.96667
1.35302;4.13333
1.35333;4.2
1.35365;4.26667
1.35397;4.33333
1.38762;4.4
1.38794;4.46667
1.42159;4.53333
1.45524;4.6
1.52206;4.63333
1.48873;4.63333
1.52238;4.7
1.55603;4.76667
1.58952;4.8
1.65651;4.86667
1.72333;4.9
1.79016;4.93333
1.85698;4.96667
1.92381;5
2.02381;5
2.09063;5.03333
2.15746;5.06667
2.22429;5.1
2.29095;5.1
2.35778;5.13333
2.4246;5.16667
2.4581;5.2
2.55825;5.23333
2.62508;5.26667
2.72508;5.26667
2.75857;5.3
2.82556;5.36667
2.89238;5.4
2.92587;5.43333
2.95952;5.5
2.99302;5.53333
2.99317;5.56667
2.99333;5.6
