X;Y
3.2;0
3.15185;0.118441
3.1;0.460121
3.05185;0.612051
3;0.763931
2.95185;0.819111
2.9;0.918891
2.85185;0.962911
2.8;1.044081
2.75185;1.088091
2.7;1.165551
2.65185;1.205841
2.6;1.287021
2.55185;1.331031
2.5;1.404761
2.45185;1.448771
2.4;1.529951
2.35185;1.570241
2.3;1.655141
2.25185;1.699151
2.2;1.784051
2.15185;1.831781
2.1;1.920401
2.05185;1.960691
2;2.049311
1.95185;2.097051
1.9;2.189391
1.85185;2.233401
1.8;2.322021
1.75185;2.369751
1.7;2.458371
1.65185;2.502381
1.6;2.594731
1.55185;2.638741
1.5;2.727361
1.45185;2.775091
1.4;2.859991
1.35185;2.907721
1.3;2.996341
1.25185;3.040351
1.2;3.128971
1.15185;3.172991
1.1;3.257881
1.05185;3.301901
1;3.394241
0.95185;3.553611
0.95185;3.593851
0.95185;3.596931
1;3.766381
1.05185;3.789401
1.1;3.793771
1.15185;3.805631
1.2;3.813721
1.25185;3.825571
1.3;3.833661
1.35185;3.841801
1.4;3.849891
1.45185;3.858031
1.5;3.858671
1.55185;3.866811
1.6;3.874901
1.65185;3.894201
1.7;3.902291
1.75185;3.917871
1.8;3.925951
1.85185;3.930371
1.9;3.934741
1.95185;3.939151
2;3.943521
2.05185;3.959101
2.1;3.967191
2.15185;3.979051
2.2;3.987131
2.25185;3.998991
2.3;4.003361
2.35185;4.011501
2.4;4.019581
2.45185;4.046331
2.5;4.058141
2.55185;4.077441
2.6;4.081811
2.65185;4.115991
2.7;4.135251
2.75185;4.165711
2.8;4.196131
2.85185;4.252651
2.9;4.294231
2.95185;4.406561
3;4.500241
3.1;4.820981
3.2;4.918381
