X;Y
3.2;0
3.14815;0.098151
3.1;0.120371
3.04815;0.146301
3;0.161111
2.94815;0.183331
2.9;0.190741
2.84815;0.198151
2.8;0.201851
2.74815;0.201851
2.5;0.205551
2.7;0.205551
2.6;0.205551
2.54815;0.205551
2.64815;0.205551
2.44815;0.209261
2.4;0.209261
2.34815;0.212961
2.3;0.212961
2.24815;0.216671
2.2;0.224071
2.14815;0.235181
2.1;0.242591
2.04815;0.253701
2;0.257411
1.94815;0.268521
1.9;0.275921
1.84815;0.312961
1.79;0.450001
1.79;0.457411
1.8;0.494441
1.88;0.635181
1.9;0.709261
1.94815;0.746301
2;0.801851
2.04815;0.831481
2.1;0.894441
2.14815;0.924071
2.2;0.983331
2.24815;1.016671
2.3;1.075921
2.34815;1.109261
2.4;1.168521
2.44815;1.205551
2.5;1.275921
2.54815;1.309261
2.6;1.383331
2.64815;1.424071
2.7;1.509261
2.74815;1.553701
2.8;1.653701
2.84815;1.698151
2.9;1.801851
2.94815;1.853701
3;1.968521
