X;Y
3.2;0
3.14815;0.141761
3.1;0.194183
3.04815;0.428981
3;0.477682
2.94815;0.559902
2.9;0.601162
2.84815;0.657332
2.8;0.679982
2.74815;0.724982
2.7;0.751352
2.64815;0.785192
2.6;0.804122
2.54815;0.841682
2.5;0.860612
2.44815;0.894452
2.4;0.909662
2.34815;0.947222
2.3;0.958712
2.24815;0.985112
2.2;1.004042
2.14815;1.037882
2.1;1.053092
2.04815;1.090652
2;1.105862
1.94815;1.143422
1.9;1.162352
1.84815;1.203632
1.8;1.226282
1.74815;1.267562
1.7;1.290222
1.64815;1.342662
1.6;1.372762
1.54815;1.432652
1.5;1.473912
1.44815;1.582172
1.4;1.686702
1.34815;2.018252
1.300002;2.145102
1.24815;2.666452
1.25;2.692822
1.25;2.711772
1.300002;3.038242
1.34815;3.112352
1.4;3.253422
1.44815;3.320082
1.5;3.457422
1.54815;3.520372
1.6;3.639102
1.64815;3.694602
1.7;3.791012
1.74815;3.831632
1.8;3.898262
1.84815;3.927712
1.9;3.983192
1.94815;4.001472
2;4.049502
2.04815;4.067792
2.1;4.112102
2.14815;4.130382
2.2;4.174692
2.24815;4.192982
2.3;4.237292
2.34815;4.255572
2.4;4.296162
2.44815;4.321892
2.5;4.366202
2.54815;4.391922
2.6;4.439952
2.64815;4.465682
2.7;4.524882
2.74815;4.554332
2.8;4.617242
2.84815;4.650412
2.9;4.720772
2.94815;4.761392
3;4.846632
3.04815;4.902132
3.1;5.125072
3.14815;5.184292
3.2;5.321632
